metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key
crop_arveja_tierna_vaina_category_transitory_summary_strategy_3,ARVEJA TIERNA,ARVEJA TIERNA,2.1184361,transitory,arveja tierna,pulses_oilseeds,,,arveja tierna,,pulses_oilseeds,2888,304.0,304.0,304.0,304.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,arveja tierna
crop_avena_category_transitory_summary_strategy_3,AVENA,AVENA,0.97485486,transitory,avena,cereals,,,avena,,cereals,8601,27.0,27.0,27.0,27.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena
crop_avena_forrajera_category_transitory_summary_strategy_3,AVENA FORRAJERA,AVENA FORRAJERA,1.434705,transitory,avena forrajera,forages_pastures,,,avena forrajera,,forages_pastures,14458,8.0,8.0,8.0,8.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,avena forrajera
crop_babaco_category_permanent_summary_strategy_3,BABACO,BABACO,0.1500067,permanent,babaco,fruits,13.0,28800.0,babaco,13.0,fruits,5571,10.0,10.0,13.0,13.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,babaco
crop_bambu_o_cana_guadua_category_permanent_summary_strategy_3,BAMBU O CANA GUADUA,BAMBU O CANA GUADUA,0.10211459,permanent,bambu o cana guadua,industrial_cash,31.0,6818.1818181818,bambu o cana guadua,31.0,industrial_cash,7350,28.0,28.0,31.0,31.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,bambu o cana guadua
crop_banano_fruta_fresca_category_permanent_summary_strategy_3,BANANO,BANANO,0.078965332,permanent,banano,fruits,,,banano,,fruits,5571,707.0,707.0,707.0,707.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,banano
crop_brachiaria_category_cultivated_pasture_summary_strategy_3,BRACHIARIA,BRACHIARIA,0.10137209,cultivated_pasture,brachiaria,forages_pastures,,,brachiaria,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_brocoli_category_transitory_summary_strategy_3,BROCOLI,BROCOLI,0.28383613,transitory,brocoli,vegetables,,,brocoli,,vegetables,2143,283.0,283.0,283.0,283.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,brocoli
crop_cacao_almendra_seca_category_permanent_summary_strategy_3,CACAO,CACAO,7.212029,permanent,cacao,industrial_cash,,,cacao,,industrial_cash,7350,5628.0,5628.0,5628.0,5628.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao
crop_cacao_ccn51_o_ramilla_almendra_fresca_category_transitory_summary_strategy_3,CACAO CCN51 O RAMILLA,CACAO CCN51 O RAMILLA,1.7368229,transitory,cacao ccn51 o ramilla,industrial_cash,,,cacao ccn51 o ramilla,,industrial_cash,7350,1.0,1.0,1.0,1.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cacao ccn51 o ramilla
crop_cafe_grano_oro_category_permanent_summary_strategy_3,CAFE,CAFE,18.70433,permanent,cafe,industrial_cash,,,cafe,,industrial_cash,7350,522.0,522.0,522.0,522.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cafe
crop_camote_category_transitory_summary_strategy_3,CAMOTE,CAMOTE,0.86320837,transitory,camote,roots_tubers,,,camote,,roots_tubers,1259,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,camote
crop_cana_de_azucar_azucar_tallo_fresco_category_permanent_summary_strategy_3,CANA DE AZUCAR / AZUCAR,CANA DE AZUCAR / AZUCAR,0.097033535,permanent,cana de azucar / azucar,industrial_cash,,,cana de azucar / azucar,,industrial_cash,7350,124.0,124.0,124.0,124.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / azucar
crop_cana_de_azucar_otros_usos_tallo_fresco_category_permanent_summary_strategy_3,CANA DE AZUCAR / OTROS USOS,CANA DE AZUCAR / OTROS USOS,0.52590079,permanent,cana de azucar / otros usos,industrial_cash,,,cana de azucar / otros usos,,industrial_cash,7350,407.0,407.0,407.0,407.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / otros usos
crop_cana_de_azucar_biocombustible_category_permanent_summary_strategy_3,CANA DE AZUCAR /BIOCOMBUSTIBLE,CANA DE AZUCAR /BIOCOMBUSTIBLE,0.035299634,permanent,cana de azucar /biocombustible,industrial_cash,7.0,41014.79915433396,cana de azucar /biocombustible,7.0,industrial_cash,7350,7.0,7.0,7.0,7.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar /biocombustible
crop_caucho_category_permanent_summary_strategy_3,CAUCHO,CAUCHO,0.18591769,permanent,caucho,industrial_cash,8.0,7004.0053404539385,caucho,8.0,industrial_cash,7350,8.0,8.0,8.0,8.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,caucho
crop_cebada_category_transitory_summary_strategy_3,CEBADA,CEBADA,2.3173177,transitory,cebada,cereals,,,cebada,,cereals,8601,276.0,276.0,276.0,276.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada
crop_cebada_forrajera_category_transitory_summary_strategy_3,CEBADA FORRAJERA,CEBADA FORRAJERA,1.7732449,transitory,cebada forrajera,forages_pastures,,,cebada forrajera,,forages_pastures,14458,4.0,4.0,4.0,4.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada forrajera
crop_cebolla_blanca_category_transitory_summary_strategy_3,CEBOLLA BLANCA,CEBOLLA BLANCA,1.8983955,transitory,cebolla blanca,vegetables,,,cebolla blanca,,vegetables,2143,527.0,527.0,527.0,527.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla blanca
crop_cebolla_colorada_category_transitory_summary_strategy_3,CEBOLLA COLORADA,CEBOLLA COLORADA,0.33427619,transitory,cebolla colorada,vegetables,,,cebolla colorada,,vegetables,2143,84.0,84.0,84.0,84.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla colorada
crop_cebolla_perla_category_transitory_summary_strategy_3,CEBOLLA PERLA,CEBOLLA PERLA,0.19241676,transitory,cebolla perla,vegetables,,,cebolla perla,,vegetables,2143,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla perla
crop_centeno_category_transitory_summary_strategy_3,CENTENO,CENTENO,0.39163345,transitory,centeno,cereals,,,centeno,,cereals,8601,5.0,5.0,5.0,5.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,centeno
crop_chirimoya_category_permanent_summary_strategy_3,CHIRIMOYA,CHIRIMOYA,0.57817774,permanent,chirimoya,fruits,4.0,4259.879357841744,chirimoya,4.0,fruits,5571,4.0,4.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chirimoya
crop_chocho_category_transitory_summary_strategy_3,CHOCHO,CHOCHO,0.73301816,transitory,chocho,pulses_oilseeds,,,chocho,,pulses_oilseeds,2888,176.0,176.0,176.0,176.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chocho
crop_cilantro_category_transitory_summary_strategy_3,CILANTRO,CILANTRO,0.80599154,transitory,cilantro,vegetables,,,cilantro,,vegetables,2143,147.0,147.0,147.0,147.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cilantro
crop_ciruelo_category_permanent_summary_strategy_3,CIRUELO,CIRUELO,0.18940804,permanent,ciruelo,fruits,14.0,5454.5454545454495,ciruelo,14.0,fruits,5571,13.0,13.0,14.0,14.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ciruelo
crop_claudia_category_permanent_summary_strategy_3,CLAUDIA,CLAUDIA,0.87439326,permanent,claudia,fruits,78.0,3218.1818181818167,claudia,78.0,fruits,5571,45.0,45.0,78.0,78.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,claudia
crop_coco_cocotero_category_permanent_summary_strategy_3,COCO,COCO,0.98520543,permanent,coco,fruits,,,coco,69.0,fruits,5571,63.0,63.0,69.0,69.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coco
crop_col_category_transitory_summary_strategy_3,COL,COL,0.67447215,transitory,col,vegetables,,,col,,vegetables,2143,82.0,82.0,82.0,82.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,col
crop_coliflor_category_transitory_summary_strategy_3,COLIFLOR,COLIFLOR,0.57542023,transitory,coliflor,vegetables,,,coliflor,,vegetables,2143,21.0,21.0,21.0,21.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coliflor
crop_durazno_melocoton_category_permanent_summary_strategy_3,DURAZNO,DURAZNO,0.58471658,permanent,durazno,fruits,,,durazno,22.0,fruits,5571,12.0,12.0,22.0,22.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,durazno
crop_esparrago_category_permanent_summary_strategy_3,ESPARRAGO,ESPARRAGO,1.2528753,permanent,esparrago,vegetables,4.0,4000.0,esparrago,4.0,vegetables,2143,4.0,4.0,4.0,4.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,esparrago
crop_frejol_seco_grano_seco_category_transitory_summary_strategy_3,FREJOL SECO,FREJOL SECO,3.234506595,transitory,frejol seco,pulses_oilseeds,,,frejol seco,,pulses_oilseeds,2888,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,pulses_oilseeds
crop_frejol_tierno_grano_tierno_category_transitory_summary_strategy_3,FREJOL TIERNO,FREJOL TIERNO,1.63373685,transitory,frejol tierno,pulses_oilseeds,,,frejol tierno,,pulses_oilseeds,2888,295.0,295.0,295.0,295.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frejol tierno
crop_frutillas_o_fresas_category_permanent_summary_strategy_3,FRUTILLAS O FRESAS,FRUTILLAS O FRESAS,0.23655592,permanent,frutillas o fresas,fruits,59.0,14727.27272727272,frutillas o fresas,59.0,fruits,5571,49.0,49.0,59.0,59.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frutillas o fresas
crop_gramalote_category_cultivated_pasture_summary_strategy_3,GRAMALOTE,GRAMALOTE,0.14918843,cultivated_pasture,gramalote,forages_pastures,,,gramalote,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_granadilla_category_permanent_summary_strategy_3,GRANADILLA,GRANADILLA,0.66388111,permanent,granadilla,fruits,66.0,5102.272727272733,granadilla,66.0,fruits,5571,57.0,57.0,66.0,66.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,granadilla
crop_guaba_category_permanent_summary_strategy_3,GUABA,GUABA,3.4090127,permanent,guaba,fruits,7.0,818.1818181818179,guaba,7.0,fruits,5571,3.0,3.0,7.0,7.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guaba
crop_guanabana_category_permanent_summary_strategy_3,GUANABANA,GUANABANA,0.61468039,permanent,guanabana,fruits,12.0,4090.9090909091,guanabana,12.0,fruits,5571,10.0,10.0,12.0,12.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guanabana
crop_guayaba_category_permanent_summary_strategy_3,GUAYABA,GUAYABA,0.10812093,permanent,guayaba,fruits,9.0,12370.129870129873,guayaba,9.0,fruits,5571,7.0,7.0,9.0,9.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guayaba
crop_haba_seca_grano_seco_category_transitory_summary_strategy_3,HABA SECA,HABA SECA,8.7971892,transitory,haba seca,pulses_oilseeds,,,haba seca,,pulses_oilseeds,2888,265.0,265.0,265.0,265.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba seca
crop_haba_tierna_grano_tierno_category_transitory_summary_strategy_3,HABA TIERNA,HABA TIERNA,0.8786468350000001,transitory,haba tierna,pulses_oilseeds,,,haba tierna,,pulses_oilseeds,2888,340.0,340.0,340.0,340.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba tierna
crop_huerto_frutal_category_permanent_summary_strategy_3,HUERTO FRUTAL,HUERTO FRUTAL,0.48703455500000004,permanent,huerto frutal,fruits,875.0,7272.727272727269,huerto frutal,875.0,fruits,5571,837.0,837.0,875.0,875.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto frutal
crop_huerto_horticola_category_transitory_summary_strategy_3,HUERTO HORTICOLA,HUERTO HORTICOLA,2.1204489,transitory,huerto horticola,vegetables,,,huerto horticola,,vegetables,2143,347.0,347.0,347.0,347.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto horticola
crop_lechuga_category_transitory_summary_strategy_3,LECHUGA,LECHUGA,0.67436821,transitory,lechuga,vegetables,,,lechuga,,vegetables,2143,104.0,104.0,104.0,104.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,lechuga
crop_lenteja_category_transitory_summary_strategy_3,LENTEJA,LENTEJA,5.3102423,transitory,lenteja,pulses_oilseeds,,,lenteja,,pulses_oilseeds,2888,3.0,3.0,3.0,3.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,lenteja
crop_limon_fruta_fresca_category_permanent_summary_strategy_3,LIMON,LIMON,1.1436466,permanent,limon,fruits,,,limon,,fruits,5571,255.0,255.0,255.0,255.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,limon
crop_maiz_duro_choclo_choclo_category_transitory_summary_strategy_3,MAIZ DURO CHOCLO,MAIZ DURO CHOCLO,2.1713646,transitory,maiz duro choclo,cereals,,,maiz duro choclo,,cereals,8601,87.0,87.0,87.0,87.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz duro choclo
crop_maiz_duro_seco_grano_seco_category_transitory_summary_strategy_3,MAIZ DURO SECO,MAIZ DURO SECO,0.86378909,transitory,maiz duro seco,cereals,,,maiz duro seco,,cereals,8601,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,cereals
crop_maiz_suave_choclo_choclo_category_transitory_summary_strategy_3,MAIZ SUAVE CHOCLO,MAIZ SUAVE CHOCLO,1.1627792,transitory,maiz suave choclo,cereals,,,maiz suave choclo,,cereals,8601,837.0,837.0,837.0,837.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz suave choclo
crop_maiz_suave_seco_grano_seco_category_transitory_summary_strategy_3,MAIZ SUAVE SECO,MAIZ SUAVE SECO,3.75625905,transitory,maiz suave seco,cereals,,,maiz suave seco,,cereals,8601,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,cereals
crop_mandarina_category_permanent_summary_strategy_3,MANDARINA,MANDARINA,0.485693815,permanent,mandarina,fruits,128.0,12424.242424242411,mandarina,128.0,fruits,5571,114.0,114.0,128.0,128.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mandarina
crop_mango_fruta_fresca_category_permanent_summary_strategy_3,MANGO,MANGO,0.4772052,permanent,mango,fruits,,,mango,,fruits,5571,79.0,79.0,79.0,79.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mango
crop_mani_category_transitory_summary_strategy_3,MANI,MANI,3.6929481,transitory,mani,pulses_oilseeds,,,mani,,pulses_oilseeds,2888,88.0,88.0,88.0,88.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mani
crop_manzana_category_permanent_summary_strategy_3,MANZANA,MANZANA,1.4586145,permanent,manzana,fruits,58.0,3340.90909090909,manzana,58.0,fruits,5571,28.0,28.0,58.0,58.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,manzana
crop_maracuya_fruta_fresca_category_permanent_summary_strategy_3,MARACUYA,MARACUYA,0.6879537849999999,permanent,maracuya,fruits,,,maracuya,,fruits,5571,157.0,157.0,157.0,157.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maracuya
crop_mashua_category_transitory_summary_strategy_3,MASHUA,MASHUA,0.11515445,transitory,mashua,roots_tubers,,,mashua,,roots_tubers,1259,2.0,2.0,2.0,2.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mashua
crop_melloco_category_transitory_summary_strategy_3,MELLOCO,MELLOCO,0.21172365,transitory,melloco,roots_tubers,,,melloco,,roots_tubers,1259,43.0,43.0,43.0,43.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,melloco
crop_melon_category_transitory_summary_strategy_3,MELON,MELON,0.18877021,transitory,melon,fruits,,,melon,,fruits,5571,8.0,8.0,8.0,8.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,melon
crop_mora_category_permanent_summary_strategy_3,MORA,MORA,0.74962294,permanent,mora,fruits,243.0,5461.38072453862,mora,243.0,fruits,5571,201.0,201.0,243.0,243.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mora
crop_nabo_category_transitory_summary_strategy_3,NABO,NABO,0.78868864,transitory,nabo,vegetables,,,nabo,,vegetables,2143,8.0,8.0,8.0,8.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,nabo
crop_naranja_fruta_fresca_category_permanent_summary_strategy_3,NARANJA,NARANJA,0.586264,permanent,naranja,fruits,,,naranja,,fruits,5571,149.0,149.0,149.0,149.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,naranja
crop_naranjilla_category_permanent_summary_strategy_3,NARANJILLA,NARANJILLA,0.62803306,permanent,naranjilla,fruits,74.0,5227.272727272727,naranjilla,74.0,fruits,5571,51.0,51.0,74.0,74.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,naranjilla
crop_oca_category_transitory_summary_strategy_3,OCA,OCA,0.37961127,transitory,oca,roots_tubers,,,oca,,roots_tubers,1259,8.0,8.0,8.0,8.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,oca
crop_orito_fruta_fresca_category_permanent_summary_strategy_3,ORITO,ORITO,0.32568237,permanent,orito,fruits,,,orito,,fruits,5571,93.0,93.0,93.0,93.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,orito
crop_otros_pastos_cultivados_category_cultivated_pasture_summary_strategy_3,OTROS PASTOS CULTIVADOS,OTROS PASTOS CULTIVADOS,0.2106995,cultivated_pasture,otros pastos cultivados,forages_pastures,,,otros pastos cultivados,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_otros_permanentes_category_permanent_summary_strategy_3,OTROS PERMANENTES,OTROS PERMANENTES,0.73789068,permanent,otros permanentes,fruits,1899.0,5269.69696969697,otros permanentes,1899.0,fruits,5571,,,1899.0,1899.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,otros permanentes
crop_otros_transitorios_category_transitory_summary_strategy_3,OTROS TRANSITORIOS,OTROS TRANSITORIOS,0.85440289,transitory,otros transitorios,vegetables,,,otros transitorios,,vegetables,2143,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,vegetables
crop_paja_toquilla_category_permanent_summary_strategy_3,PAJA TOQUILLA,PAJA TOQUILLA,0.27496729,permanent,paja toquilla,industrial_cash,6.0,2290.90909090909,paja toquilla,6.0,industrial_cash,7350,6.0,6.0,6.0,6.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,paja toquilla
crop_palma_africana_fruta_fresca_category_permanent_summary_strategy_3,PALMA AFRICANA,PALMA AFRICANA,0.20926895,permanent,palma africana,industrial_cash,,,palma africana,,industrial_cash,7350,586.0,586.0,586.0,586.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,palma africana
crop_palmito_tallo_fresco_category_permanent_summary_strategy_3,PALMITO,PALMITO,0.53157333,permanent,palmito,industrial_cash,,,palmito,,industrial_cash,7350,52.0,52.0,52.0,52.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,palmito
crop_papa_category_transitory_summary_strategy_3,PAPA,PAPA,0.60268647,transitory,papa,roots_tubers,,,papa,,roots_tubers,1259,718.0,718.0,718.0,718.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,papa
crop_papa_china_pelma_category_transitory_summary_strategy_3,"PAPA CHINA, PELMA","PAPA CHINA, PELMA",0.70149394,transitory,"papa china, pelma",roots_tubers,,,"papa china, pelma",,roots_tubers,1259,71.0,71.0,71.0,71.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,"papa china, pelma"
crop_papaya_category_permanent_summary_strategy_3,PAPAYA,PAPAYA,0.382678075,permanent,papaya,fruits,46.0,10909.090909090904,papaya,46.0,fruits,5571,44.0,44.0,46.0,46.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,papaya
