metric_col,crop_display,crop_candidate,impact_value,Category,crop_norm,crop_group,n_crop,Yield_kgha,crop_base_norm,n_crop_base,crop_group_norm,n_crop_group,n_crop_dp_exact,n_crop_dp_base,n_crop_final,n,n_source,source_summary_file,source_inventory_level,source_key
crop_cana_de_azucar_azucar_tallo_fresco_category_permanent_summary_strategy_3,CANA DE AZUCAR / AZUCAR,CANA DE AZUCAR / AZUCAR,0.097798813,permanent,cana de azucar / azucar,industrial_cash,,,cana de azucar / azucar,,industrial_cash,7350,124.0,124.0,124.0,124.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / azucar
crop_cana_de_azucar_otros_usos_tallo_fresco_category_permanent_summary_strategy_3,CANA DE AZUCAR / OTROS USOS,CANA DE AZUCAR / OTROS USOS,0.52577438,permanent,cana de azucar / otros usos,industrial_cash,,,cana de azucar / otros usos,,industrial_cash,7350,407.0,407.0,407.0,407.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar / otros usos
crop_cana_de_azucar_biocombustible_category_permanent_summary_strategy_3,CANA DE AZUCAR /BIOCOMBUSTIBLE,CANA DE AZUCAR /BIOCOMBUSTIBLE,0.035299634,permanent,cana de azucar /biocombustible,industrial_cash,,,cana de azucar /biocombustible,,industrial_cash,7350,7.0,7.0,7.0,7.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cana de azucar /biocombustible
crop_caucho_category_permanent_summary_strategy_3,CAUCHO,CAUCHO,0.18591769,permanent,caucho,industrial_cash,,,caucho,,industrial_cash,7350,8.0,8.0,8.0,8.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,caucho
crop_cebada_category_transitory_summary_strategy_3,CEBADA,CEBADA,1.953325,transitory,cebada,cereals,,,cebada,,cereals,8601,276.0,276.0,276.0,276.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada
crop_cebada_forrajera_category_transitory_summary_strategy_3,CEBADA FORRAJERA,CEBADA FORRAJERA,2.034914,transitory,cebada forrajera,forages_pastures,7.0,2272.727272727272,cebada forrajera,7.0,forages_pastures,14458,4.0,4.0,7.0,7.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebada forrajera
crop_cebolla_blanca_category_transitory_summary_strategy_3,CEBOLLA BLANCA,CEBOLLA BLANCA,1.2891536,transitory,cebolla blanca,vegetables,,,cebolla blanca,,vegetables,2143,527.0,527.0,527.0,527.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla blanca
crop_cebolla_colorada_category_transitory_summary_strategy_3,CEBOLLA COLORADA,CEBOLLA COLORADA,0.39892361,transitory,cebolla colorada,vegetables,80.0,9382.284382284402,cebolla colorada,80.0,vegetables,2143,84.0,84.0,80.0,80.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla colorada
crop_cebolla_perla_category_transitory_summary_strategy_3,CEBOLLA PERLA,CEBOLLA PERLA,0.22222717,transitory,cebolla perla,vegetables,12.0,14962.121212121212,cebolla perla,12.0,vegetables,2143,12.0,12.0,12.0,12.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cebolla perla
crop_centeno_category_transitory_summary_strategy_3,CENTENO,CENTENO,0.39163345,transitory,centeno,cereals,2.0,2957.8877005347613,centeno,2.0,cereals,8601,5.0,5.0,2.0,2.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,centeno
crop_chirimoya_category_permanent_summary_strategy_3,CHIRIMOYA,CHIRIMOYA,0.57817774,permanent,chirimoya,fruits,,,chirimoya,,fruits,5571,4.0,4.0,4.0,4.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chirimoya
crop_chocho_category_transitory_summary_strategy_3,CHOCHO,CHOCHO,0.7759744,transitory,chocho,pulses_oilseeds,130.0,1938.2133018496656,chocho,130.0,pulses_oilseeds,2888,176.0,176.0,130.0,130.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,chocho
crop_cilantro_category_transitory_summary_strategy_3,CILANTRO,CILANTRO,0.18051223,transitory,cilantro,vegetables,176.0,4772.72727272727,cilantro,176.0,vegetables,2143,147.0,147.0,176.0,176.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,cilantro
crop_ciruelo_category_permanent_summary_strategy_3,CIRUELO,CIRUELO,0.18940804,permanent,ciruelo,fruits,,,ciruelo,,fruits,5571,13.0,13.0,13.0,13.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,ciruelo
crop_coco_cocotero_category_permanent_summary_strategy_3,COCO,COCO,0.13646157,permanent,coco,fruits,,,coco,,fruits,5571,63.0,63.0,63.0,63.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coco
crop_col_category_transitory_summary_strategy_3,COL,COL,0.24213989,transitory,col,vegetables,139.0,6818.181818181808,col,139.0,vegetables,2143,82.0,82.0,139.0,139.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,col
crop_coliflor_category_transitory_summary_strategy_3,COLIFLOR,COLIFLOR,0.12555802,transitory,coliflor,vegetables,47.0,7272.727272727249,coliflor,47.0,vegetables,2143,21.0,21.0,47.0,47.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,coliflor
crop_esparrago_category_permanent_summary_strategy_3,ESPARRAGO,ESPARRAGO,1.2627085,permanent,esparrago,vegetables,,,esparrago,,vegetables,2143,4.0,4.0,4.0,4.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,esparrago
crop_frejol_seco_grano_seco_category_transitory_summary_strategy_3,FREJOL SECO,FREJOL SECO,3.46985657,transitory,frejol seco,pulses_oilseeds,,,frejol seco,3.0,pulses_oilseeds,2888,,,3.0,3.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frejol seco
crop_frejol_tierno_grano_tierno_category_transitory_summary_strategy_3,FREJOL TIERNO,FREJOL TIERNO,1.54787285,transitory,frejol tierno,pulses_oilseeds,,,frejol tierno,4.0,pulses_oilseeds,2888,295.0,295.0,4.0,4.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frejol tierno
crop_frutillas_o_fresas_category_permanent_summary_strategy_3,FRUTILLAS O FRESAS,FRUTILLAS O FRESAS,0.14120968,permanent,frutillas o fresas,fruits,,,frutillas o fresas,,fruits,5571,49.0,49.0,49.0,49.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,frutillas o fresas
crop_gramalote_category_cultivated_pasture_summary_strategy_3,GRAMALOTE,GRAMALOTE,0.1505595,cultivated_pasture,gramalote,forages_pastures,,,gramalote,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_granadilla_category_permanent_summary_strategy_3,GRANADILLA,GRANADILLA,0.58289895,permanent,granadilla,fruits,,,granadilla,,fruits,5571,57.0,57.0,57.0,57.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,granadilla
crop_guaba_category_permanent_summary_strategy_3,GUABA,GUABA,3.3124865,permanent,guaba,fruits,,,guaba,,fruits,5571,3.0,3.0,3.0,3.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guaba
crop_guanabana_category_permanent_summary_strategy_3,GUANABANA,GUANABANA,0.77492529,permanent,guanabana,fruits,,,guanabana,,fruits,5571,10.0,10.0,10.0,10.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guanabana
crop_guayaba_category_permanent_summary_strategy_3,GUAYABA,GUAYABA,0.17680049,permanent,guayaba,fruits,,,guayaba,,fruits,5571,7.0,7.0,7.0,7.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,guayaba
crop_haba_seca_grano_seco_category_transitory_summary_strategy_3,HABA SECA,HABA SECA,9.0429919,transitory,haba seca,pulses_oilseeds,,,haba seca,,pulses_oilseeds,2888,265.0,265.0,265.0,265.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba seca
crop_haba_tierna_grano_tierno_category_transitory_summary_strategy_3,HABA TIERNA,HABA TIERNA,0.767006885,transitory,haba tierna,pulses_oilseeds,,,haba tierna,2.0,pulses_oilseeds,2888,340.0,340.0,2.0,2.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,haba tierna
crop_huerto_horticola_category_transitory_summary_strategy_3,HUERTO HORTICOLA,HUERTO HORTICOLA,2.3385065,transitory,huerto horticola,vegetables,296.0,1363.636363636364,huerto horticola,296.0,vegetables,2143,347.0,347.0,296.0,296.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,huerto horticola
crop_lechuga_category_transitory_summary_strategy_3,LECHUGA,LECHUGA,0.19524902,transitory,lechuga,vegetables,160.0,6230.687916734423,lechuga,160.0,vegetables,2143,104.0,104.0,160.0,160.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,lechuga
crop_lenteja_category_transitory_summary_strategy_3,LENTEJA,LENTEJA,5.3102423,transitory,lenteja,pulses_oilseeds,2.0,162.87878787878802,lenteja,2.0,pulses_oilseeds,2888,3.0,3.0,2.0,2.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,lenteja
crop_limon_fruta_fresca_category_permanent_summary_strategy_3,LIMON,LIMON,1.1309836,permanent,limon,fruits,,,limon,,fruits,5571,255.0,255.0,255.0,255.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,limon
crop_maiz_duro_choclo_choclo_category_transitory_summary_strategy_3,MAIZ DURO CHOCLO,MAIZ DURO CHOCLO,1.9141625,transitory,maiz duro choclo,cereals,,,maiz duro choclo,,cereals,8601,87.0,87.0,87.0,87.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz duro choclo
crop_maiz_duro_seco_grano_seco_category_transitory_summary_strategy_3,MAIZ DURO SECO,MAIZ DURO SECO,0.87762951,transitory,maiz duro seco,cereals,,,maiz duro seco,4.0,cereals,8601,,,4.0,4.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz duro seco
crop_maiz_suave_choclo_choclo_category_transitory_summary_strategy_3,MAIZ SUAVE CHOCLO,MAIZ SUAVE CHOCLO,0.56056491,transitory,maiz suave choclo,cereals,,,maiz suave choclo,,cereals,8601,837.0,837.0,837.0,837.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz suave choclo
crop_maiz_suave_seco_grano_seco_category_transitory_summary_strategy_3,MAIZ SUAVE SECO,MAIZ SUAVE SECO,3.739949,transitory,maiz suave seco,cereals,,,maiz suave seco,12.0,cereals,8601,,,12.0,12.0,crop_base,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maiz suave seco
crop_mandarina_category_permanent_summary_strategy_3,MANDARINA,MANDARINA,0.40837654999999995,permanent,mandarina,fruits,1.0,7575.757575757574,mandarina,1.0,fruits,5571,114.0,114.0,1.0,1.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mandarina
crop_mango_fruta_fresca_category_permanent_summary_strategy_3,MANGO,MANGO,0.47716243,permanent,mango,fruits,,,mango,,fruits,5571,79.0,79.0,79.0,79.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mango
crop_mani_category_transitory_summary_strategy_3,MANI,MANI,3.688335,transitory,mani,pulses_oilseeds,,,mani,,pulses_oilseeds,2888,88.0,88.0,88.0,88.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mani
crop_maracuya_fruta_fresca_category_permanent_summary_strategy_3,MARACUYA,MARACUYA,0.688630455,permanent,maracuya,fruits,1.0,1363.636363636365,maracuya,1.0,fruits,5571,157.0,157.0,1.0,1.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,maracuya
crop_mashua_category_transitory_summary_strategy_3,MASHUA,MASHUA,0.11515445,transitory,mashua,roots_tubers,2.0,22878.78787878792,mashua,2.0,roots_tubers,1259,2.0,2.0,2.0,2.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mashua
crop_melloco_category_transitory_summary_strategy_3,MELLOCO,MELLOCO,0.22444368,transitory,melloco,roots_tubers,22.0,8181.818181818184,melloco,22.0,roots_tubers,1259,43.0,43.0,22.0,22.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,melloco
crop_melon_category_transitory_summary_strategy_3,MELON,MELON,0.18877021,transitory,melon,fruits,11.0,16000.0,melon,11.0,fruits,5571,8.0,8.0,11.0,11.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,melon
crop_mora_category_permanent_summary_strategy_3,MORA,MORA,0.10209339,permanent,mora,fruits,,,mora,,fruits,5571,201.0,201.0,201.0,201.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,mora
crop_nabo_category_transitory_summary_strategy_3,NABO,NABO,0.78868864,transitory,nabo,vegetables,46.0,4318.18181818182,nabo,46.0,vegetables,2143,8.0,8.0,46.0,46.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,nabo
crop_naranja_fruta_fresca_category_permanent_summary_strategy_3,NARANJA,NARANJA,0.53567872,permanent,naranja,fruits,,,naranja,,fruits,5571,149.0,149.0,149.0,149.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,naranja
crop_naranjilla_category_permanent_summary_strategy_3,NARANJILLA,NARANJILLA,0.64824713,permanent,naranjilla,fruits,,,naranjilla,,fruits,5571,51.0,51.0,51.0,51.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,naranjilla
crop_oca_category_transitory_summary_strategy_3,OCA,OCA,0.53067631,transitory,oca,roots_tubers,5.0,1363.63636363636,oca,5.0,roots_tubers,1259,8.0,8.0,5.0,5.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,oca
crop_orito_fruta_fresca_category_permanent_summary_strategy_3,ORITO,ORITO,0.32867819,permanent,orito,fruits,,,orito,,fruits,5571,93.0,93.0,93.0,93.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,orito
crop_otros_pastos_cultivados_category_cultivated_pasture_summary_strategy_3,OTROS PASTOS CULTIVADOS,OTROS PASTOS CULTIVADOS,0.19303943,cultivated_pasture,otros pastos cultivados,forages_pastures,,,otros pastos cultivados,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_otros_permanentes_category_permanent_summary_strategy_3,OTROS PERMANENTES,OTROS PERMANENTES,0.63834749,permanent,otros permanentes,fruits,,,otros permanentes,,fruits,5571,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,fruits
crop_otros_transitorios_category_transitory_summary_strategy_3,OTROS TRANSITORIOS,OTROS TRANSITORIOS,0.23847531,transitory,otros transitorios,vegetables,1786.0,4090.909090909088,otros transitorios,1786.0,vegetables,2143,,,1786.0,1786.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,otros transitorios
crop_paja_toquilla_category_permanent_summary_strategy_3,PAJA TOQUILLA,PAJA TOQUILLA,0.27496729,permanent,paja toquilla,industrial_cash,,,paja toquilla,,industrial_cash,7350,6.0,6.0,6.0,6.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,paja toquilla
crop_palma_africana_fruta_fresca_category_permanent_summary_strategy_3,PALMA AFRICANA,PALMA AFRICANA,0.10525497,permanent,palma africana,industrial_cash,,,palma africana,,industrial_cash,7350,586.0,586.0,586.0,586.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,palma africana
crop_palmito_tallo_fresco_category_permanent_summary_strategy_3,PALMITO,PALMITO,0.49846287,permanent,palmito,industrial_cash,,,palmito,,industrial_cash,7350,52.0,52.0,52.0,52.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,palmito
crop_papa_category_transitory_summary_strategy_3,PAPA,PAPA,0.47793251,transitory,papa,roots_tubers,,,papa,,roots_tubers,1259,718.0,718.0,718.0,718.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,papa
crop_papa_china_pelma_category_transitory_summary_strategy_3,"PAPA CHINA, PELMA","PAPA CHINA, PELMA",0.94986794,transitory,"papa china, pelma",roots_tubers,44.0,2121.21212121212,"papa china, pelma",44.0,roots_tubers,1259,71.0,71.0,44.0,44.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,"papa china, pelma"
crop_pasto_azul_category_transitory_summary_strategy_3,PASTO AZUL,PASTO AZUL,0.10331103,transitory,pasto azul,forages_pastures,2.0,17875.180375180367,pasto azul,2.0,forages_pastures,14458,2.0,2.0,2.0,2.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pasto azul
crop_pasto_miel_chilena_category_cultivated_pasture_summary_strategy_3,PASTO MIEL,PASTO MIEL,0.20378457,cultivated_pasture,pasto miel,forages_pastures,,,pasto miel,,forages_pastures,14458,,,,,unmatched,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_group_national.csv,crop_group_national,forages_pastures
crop_pasto_mixto_category_cultivated_pasture_summary_strategy_3,PASTO MIXTO,PASTO MIXTO,0.1538929,cultivated_pasture,pasto mixto,forages_pastures,,,pasto mixto,,forages_pastures,14458,12.0,12.0,12.0,12.0,datapoints_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pasto mixto
crop_pepinillo_category_transitory_summary_strategy_3,PEPINILLO,PEPINILLO,0.17145007,transitory,pepinillo,vegetables,29.0,4545.45454545455,pepinillo,29.0,vegetables,2143,12.0,12.0,29.0,29.0,crop_exact,outputs\CSVs\03-05_espac_crop_lci_table_filtered_dfe__summary_crop_national.csv,crop_national,pepinillo
